Customer_ID,Age_Group,Gender,Region,Customer_Type
1,36-45,Female,South,Repeat
2,18-25,Female,South,New
3,46-60,Male,North,New
4,26-35,Female,West,New
5,26-35,Male,West,New
6,18-25,Male,South,Repeat
7,46-60,Male,South,Repeat
8,46-60,Male,North,Repeat
9,26-35,Male,South,New
10,26-35,Female,South,Repeat
11,36-45,Male,West,Repeat
12,18-25,Female,South,New
13,26-35,Male,North,New
14,46-60,Female,South,New
15,46-60,Male,South,New
16,26-35,Female,South,New
17,46-60,Female,East,New
18,18-25,Male,South,Repeat
19,46-60,Male,North,Repeat
20,46-60,Male,West,Repeat
21,26-35,Female,West,Repeat
22,18-25,Male,East,Repeat
23,18-25,Male,North,New
24,36-45,Female,West,New
25,18-25,Male,West,Repeat
26,36-45,Male,South,Repeat
27,26-35,Female,South,Repeat
28,46-60,Male,South,Repeat
29,18-25,Female,East,New
30,36-45,Male,South,New
31,18-25,Female,North,Repeat
32,26-35,Female,East,Repeat
33,36-45,Male,West,New
34,36-45,Female,West,Repeat
35,36-45,Male,North,New
36,26-35,Female,North,Repeat
37,36-45,Female,West,New
38,46-60,Male,North,Repeat
39,26-35,Male,North,Repeat
40,46-60,Male,North,Repeat
41,46-60,Female,South,Repeat
42,26-35,Male,West,Repeat
43,18-25,Female,North,Repeat
44,46-60,Female,North,Repeat
45,26-35,Male,South,New
46,46-60,Female,West,New
47,36-45,Male,East,New
48,46-60,Female,West,Repeat
49,46-60,Male,West,Repeat
50,46-60,Female,West,New
51,36-45,Female,South,Repeat
52,46-60,Male,West,Repeat
53,26-35,Female,East,Repeat
54,46-60,Female,North,Repeat
55,26-35,Female,West,New
56,46-60,Female,South,New
57,46-60,Female,West,Repeat
58,46-60,Male,West,New
59,18-25,Male,East,Repeat
60,18-25,Female,East,Repeat
61,36-45,Male,South,Repeat
62,26-35,Male,South,Repeat
63,36-45,Female,South,Repeat
64,26-35,Male,South,New
65,36-45,Female,South,Repeat
66,36-45,Male,North,Repeat
67,46-60,Female,North,New
68,46-60,Female,South,Repeat
69,46-60,Female,South,New
70,46-60,Female,North,New
71,46-60,Male,East,Repeat
72,36-45,Male,North,Repeat
73,26-35,Female,South,Repeat
74,18-25,Male,East,Repeat
75,18-25,Female,South,Repeat
76,26-35,Female,West,Repeat
77,18-25,Male,East,New
78,36-45,Female,South,New
79,26-35,Female,North,New
80,26-35,Male,South,New
81,18-25,Female,North,Repeat
82,18-25,Female,East,Repeat
83,36-45,Male,North,New
84,46-60,Male,East,Repeat
85,26-35,Female,South,Repeat
86,46-60,Male,North,New
87,18-25,Male,East,Repeat
88,26-35,Male,East,New
89,46-60,Male,East,Repeat
90,36-45,Male,West,Repeat
91,36-45,Male,East,Repeat
92,36-45,Female,South,Repeat
93,26-35,Female,South,Repeat
94,26-35,Male,South,Repeat
95,26-35,Male,East,New
96,26-35,Male,South,New
97,26-35,Female,East,Repeat
98,46-60,Female,East,New
99,46-60,Female,East,New
100,36-45,Female,West,Repeat
101,46-60,Male,North,Repeat
102,46-60,Male,South,Repeat
103,36-45,Male,West,Repeat
104,36-45,Male,South,Repeat
105,18-25,Male,West,Repeat
106,36-45,Female,North,Repeat
107,46-60,Male,North,Repeat
108,26-35,Female,North,Repeat
109,36-45,Male,North,Repeat
110,18-25,Male,East,Repeat
111,46-60,Female,South,Repeat
112,18-25,Female,South,New
113,18-25,Male,South,New
114,46-60,Female,East,Repeat
115,18-25,Female,South,Repeat
116,46-60,Female,North,Repeat
117,18-25,Male,South,New
118,26-35,Male,South,Repeat
119,36-45,Male,West,Repeat
120,26-35,Female,East,Repeat
121,26-35,Female,North,New
122,18-25,Male,North,New
123,36-45,Male,North,Repeat
