Campaign_ID,Channel,Spend,Revenue_Attributed,Start_Date,End_Date
1,Social Media,173315,311328,2023-05-12,2023-06-17
2,Email,65915,36902,2023-01-09,2023-02-27
3,Social Media,227041,312791,2023-08-19,2023-08-24
4,Email,299523,210446,2023-06-02,2023-06-17
5,Ads,99146,59140,2023-11-01,2023-12-01
6,Email,109416,222789,2023-10-11,2023-10-18
7,Ads,227323,392685,2023-07-09,2023-08-31
8,Social Media,153703,81730,2023-01-16,2023-03-12
9,Ads,149140,256829,2023-12-09,2023-12-26
10,Email,118567,158996,2023-07-22,2023-08-27
11,Email,295974,326690,2023-06-23,2023-08-14
12,Social Media,175668,440220,2023-06-17,2023-08-10
13,Ads,63484,472289,2023-12-05,2024-01-01
14,Social Media,114756,88557,2023-02-03,2023-03-31
15,Ads,287260,83206,2023-08-17,2023-09-13
16,Ads,236125,173577,2023-01-01,2023-02-25
17,Social Media,143085,86618,2023-11-18,2023-12-22
18,Social Media,21636,329175,2023-04-25,2023-05-05
19,Ads,27811,204859,2023-08-02,2023-09-30
20,Social Media,166295,261616,2023-09-11,2023-09-22
21,Ads,161653,437793,2023-05-25,2023-07-15
22,Social Media,103018,223697,2023-02-16,2023-03-22
23,Social Media,153676,169115,2023-10-07,2023-11-17
24,Social Media,151279,195202,2023-06-27,2023-08-18
25,Email,244998,122950,2023-08-01,2023-09-06
26,Social Media,159535,89846,2023-12-26,2024-01-05
27,Email,187518,422326,2023-10-12,2023-11-20
28,Ads,32671,343536,2023-09-02,2023-10-08
29,Ads,291620,84673,2023-09-10,2023-09-26
30,Social Media,287130,265911,2023-07-25,2023-08-02
31,Email,62001,167816,2023-03-13,2023-04-18
32,Ads,26803,289113,2023-08-10,2023-10-07
33,Email,71446,267660,2023-12-08,2024-01-16
34,Email,31905,342534,2023-08-03,2023-09-24
35,Ads,22461,69260,2023-12-26,2024-01-15
36,Email,257321,345904,2023-05-21,2023-07-19
37,Email,78687,135806,2023-06-05,2023-07-30
38,Ads,156745,295614,2023-08-10,2023-08-29
39,Social Media,95956,192715,2023-11-26,2024-01-10
40,Social Media,269127,385491,2023-08-19,2023-10-14
41,Email,102863,34201,2023-05-22,2023-05-28
42,Social Media,32251,494103,2023-12-24,2024-01-03
43,Ads,233157,110863,2023-03-16,2023-04-03
44,Ads,213166,275293,2023-02-09,2023-03-26
45,Ads,264796,57340,2023-09-30,2023-11-02
46,Email,214683,123716,2023-03-11,2023-04-26
47,Ads,187149,174560,2023-11-13,2023-12-13
48,Email,287805,125910,2023-04-21,2023-05-13
49,Email,23838,428629,2023-08-22,2023-10-12
50,Ads,62073,70200,2023-07-16,2023-07-24
51,Ads,161450,483395,2023-12-05,2024-01-15
52,Email,95113,52355,2023-07-18,2023-09-15
53,Ads,264571,305975,2023-01-24,2023-03-22
54,Social Media,179599,381501,2023-11-03,2023-12-15
55,Email,193259,410733,2023-05-27,2023-06-25
56,Email,256338,158211,2023-03-03,2023-04-23
57,Ads,167053,487526,2023-03-08,2023-05-03
58,Ads,82457,328540,2023-01-30,2023-03-04
59,Email,293941,223428,2023-04-17,2023-05-25
60,Email,171989,80920,2023-06-15,2023-07-05
61,Email,291015,272740,2023-05-01,2023-06-11
62,Ads,103050,461336,2023-01-11,2023-02-14
63,Email,234395,339930,2023-03-13,2023-04-09
64,Social Media,210487,422190,2023-12-13,2024-01-22
65,Social Media,58398,441141,2023-09-10,2023-10-12
66,Ads,248136,338150,2023-10-12,2023-10-17
67,Email,95058,359771,2023-04-29,2023-05-11
68,Email,287174,302986,2023-01-08,2023-03-06
69,Social Media,21381,105459,2023-08-03,2023-09-18
70,Email,156164,240435,2023-08-09,2023-08-28
71,Ads,107620,405416,2023-03-21,2023-04-28
72,Ads,231224,447342,2023-03-13,2023-04-05
73,Ads,235752,234891,2023-07-19,2023-09-05
74,Email,185783,493606,2023-06-22,2023-07-26
75,Email,135645,350218,2023-10-16,2023-10-30
76,Social Media,199815,461033,2023-08-22,2023-10-09
77,Social Media,267293,297701,2023-09-18,2023-11-14
78,Ads,26885,296576,2023-05-25,2023-06-25
79,Email,126905,173078,2023-01-22,2023-02-15
80,Email,165117,453205,2023-03-19,2023-04-17
81,Ads,38780,481259,2023-08-18,2023-08-31
82,Ads,109771,398435,2023-06-09,2023-07-23
83,Social Media,211695,67788,2023-01-14,2023-02-21
84,Social Media,60021,94167,2023-08-24,2023-09-18
85,Ads,237831,344310,2023-05-28,2023-06-25
86,Email,38942,56887,2023-05-30,2023-06-10
87,Social Media,175786,445848,2023-01-30,2023-02-07
88,Ads,71672,408848,2023-06-10,2023-08-04
89,Email,132437,257551,2023-09-18,2023-09-30
90,Ads,106557,96513,2023-01-18,2023-02-04
91,Email,204051,247202,2023-03-04,2023-03-29
92,Social Media,108549,331946,2023-05-15,2023-06-23
93,Email,34008,64026,2023-06-06,2023-06-15
94,Email,80196,271423,2023-02-26,2023-04-23
95,Ads,284438,244289,2023-09-22,2023-10-04
96,Email,39061,367850,2023-09-11,2023-09-17
97,Social Media,75733,365077,2023-07-06,2023-08-03
98,Ads,118376,410961,2023-12-27,2024-02-11
99,Ads,191076,191155,2023-11-23,2024-01-20
100,Ads,100625,293876,2023-07-18,2023-08-07
101,Ads,202365,406308,2023-06-20,2023-06-28
102,Ads,204754,426158,2023-11-11,2023-12-15
103,Ads,30237,89853,2023-01-06,2023-02-25
104,Ads,293838,276208,2023-09-13,2023-10-17
105,Social Media,169533,389228,2023-11-05,2023-12-14
106,Social Media,98000,301573,2023-11-16,2024-01-01
107,Ads,96599,256349,2023-09-05,2023-09-22
108,Email,231352,198340,2023-08-07,2023-09-17
109,Ads,33064,349820,2023-01-04,2023-03-03
110,Ads,204396,445733,2023-01-01,2023-02-23
111,Ads,152004,93727,2023-11-22,2024-01-14
112,Email,75835,125485,2023-01-31,2023-02-15
113,Social Media,72381,58899,2023-11-17,2023-12-10
114,Email,37574,45068,2023-04-27,2023-05-19
115,Email,52779,274602,2023-10-02,2023-10-23
116,Email,131422,95701,2023-07-16,2023-07-31
117,Email,184288,370552,2023-11-21,2023-12-10
118,Ads,222493,247824,2023-06-26,2023-07-08
119,Social Media,256475,125742,2023-10-14,2023-12-01
120,Email,45491,59269,2023-08-24,2023-09-26
121,Social Media,163990,386944,2023-03-20,2023-04-10
122,Ads,294657,173291,2023-08-31,2023-09-30
123,Ads,167902,114694,2023-11-07,2023-11-16
124,Social Media,210326,89043,2023-07-24,2023-08-01
125,Ads,195767,187061,2023-07-30,2023-08-27
126,Social Media,181243,95263,2023-11-29,2023-12-14
127,Email,153322,203478,2023-04-01,2023-05-05
128,Ads,76263,395468,2023-06-15,2023-07-29
129,Ads,82114,254666,2023-06-10,2023-08-01
130,Social Media,22681,250740,2023-01-06,2023-02-27
131,Ads,103321,149432,2023-05-21,2023-06-29
132,Email,154479,416711,2023-07-24,2023-09-10
133,Ads,37427,46830,2023-01-20,2023-03-10
134,Ads,149463,451266,2023-04-10,2023-05-17
135,Ads,41747,193936,2023-06-14,2023-07-24
136,Social Media,33555,130730,2023-02-14,2023-03-11
137,Email,216999,204749,2023-12-03,2024-01-14
138,Email,43263,49641,2023-08-15,2023-08-24
139,Ads,222592,388055,2023-11-11,2023-11-20
140,Ads,156199,436771,2023-02-21,2023-03-18
141,Social Media,124893,247718,2023-05-26,2023-06-24
142,Email,128930,184307,2023-10-08,2023-10-22
143,Ads,113159,399142,2023-05-03,2023-05-26
144,Email,157926,452175,2023-07-26,2023-08-31
145,Ads,176805,464173,2023-10-24,2023-11-15
146,Ads,244811,267632,2023-04-12,2023-05-20
147,Social Media,54311,222673,2023-10-01,2023-11-22
148,Email,37175,397188,2023-05-09,2023-05-28
149,Email,241620,487630,2023-06-16,2023-07-14
150,Ads,238162,118634,2023-07-21,2023-07-30
151,Ads,75195,45309,2023-04-12,2023-06-08
152,Social Media,48090,437321,2023-03-12,2023-05-09
153,Ads,256587,341957,2023-01-08,2023-02-13
154,Email,93334,221905,2023-06-11,2023-06-24
155,Social Media,73111,366352,2023-03-14,2023-05-12
156,Email,106284,453544,2023-12-11,2023-12-20
157,Social Media,283860,486972,2023-01-27,2023-02-05
158,Email,195396,240686,2023-06-18,2023-08-02
159,Ads,93406,397327,2023-09-20,2023-11-04
160,Email,207585,460646,2023-10-15,2023-11-22
161,Email,196205,463799,2023-03-14,2023-03-25
162,Social Media,224988,328173,2023-07-28,2023-08-27
163,Email,289701,161477,2023-04-09,2023-04-14
164,Ads,117304,84012,2023-01-31,2023-03-28
165,Social Media,148301,426776,2023-12-02,2024-01-09
166,Social Media,55486,41575,2023-02-02,2023-03-04
167,Email,60655,238467,2023-08-01,2023-09-06
168,Social Media,109638,126148,2023-05-25,2023-06-10
169,Ads,83823,43153,2023-04-09,2023-04-19
170,Email,225702,398304,2023-11-06,2023-11-30
171,Ads,104801,334221,2023-11-06,2023-11-29
172,Email,149095,319157,2023-06-29,2023-07-19
173,Email,231781,167762,2023-05-15,2023-05-23
174,Social Media,134708,271050,2023-07-09,2023-08-14
175,Social Media,293408,248323,2023-01-30,2023-02-21
176,Social Media,167003,222125,2023-03-23,2023-04-01
177,Email,62059,410272,2023-02-26,2023-04-25
178,Social Media,22650,358421,2023-06-23,2023-08-16
179,Ads,76238,369111,2023-07-27,2023-08-06
180,Social Media,273137,430397,2023-11-22,2023-12-10
181,Ads,194903,192377,2023-11-18,2024-01-13
182,Social Media,202911,299875,2023-07-02,2023-08-24
183,Email,231759,131225,2023-08-23,2023-09-14
184,Social Media,289218,135678,2023-04-17,2023-06-13
185,Ads,266519,482391,2023-07-05,2023-07-19
186,Ads,77344,233631,2023-09-23,2023-10-20
187,Social Media,204991,264937,2023-05-12,2023-07-06
188,Ads,62925,396082,2023-11-26,2023-12-18
189,Email,167759,30910,2023-11-25,2023-12-03
190,Social Media,252601,198542,2023-11-14,2024-01-09
191,Ads,82055,339485,2023-12-31,2024-02-05
192,Social Media,276024,117718,2023-06-20,2023-08-10
193,Social Media,192839,86850,2023-10-25,2023-11-04
194,Social Media,278072,190462,2023-01-24,2023-02-23
195,Social Media,114154,356373,2023-09-18,2023-09-28
196,Social Media,106123,356035,2023-12-21,2024-01-29
197,Email,86889,140805,2023-07-15,2023-08-29
198,Social Media,272034,427254,2023-04-09,2023-05-26
199,Email,267590,189287,2023-11-29,2023-12-08
200,Social Media,138690,127101,2023-04-11,2023-04-29
