Product_ID,Product_Name,Category,Base_Price
1,Product_1,Home,5283
2,Product_2,Grocery,1519
3,Product_3,Home,9987
4,Product_4,Clothing,8098
5,Product_5,Electronics,1549
6,Product_6,Home,13881
7,Product_7,Clothing,2840
8,Product_8,Clothing,8073
9,Product_9,Home,9949
10,Product_10,Home,2778
11,Product_11,Electronics,3485
12,Product_12,Electronics,12561
13,Product_13,Grocery,6205
14,Product_14,Electronics,1644
15,Product_15,Home,8130
16,Product_16,Grocery,13305
17,Product_17,Clothing,1205
18,Product_18,Clothing,2924
19,Product_19,Home,12263
20,Product_20,Grocery,2434
21,Product_21,Grocery,2984
22,Product_22,Electronics,7496
23,Product_23,Clothing,2245
24,Product_24,Clothing,6264
25,Product_25,Electronics,9661
26,Product_26,Clothing,3046
27,Product_27,Electronics,13985
28,Product_28,Clothing,14474
29,Product_29,Clothing,11339
30,Product_30,Clothing,6128
31,Product_31,Electronics,1277
32,Product_32,Clothing,10025
33,Product_33,Clothing,10809
34,Product_34,Grocery,11080
35,Product_35,Clothing,11795
36,Product_36,Home,3614
37,Product_37,Clothing,12905
38,Product_38,Clothing,3436
39,Product_39,Grocery,4610
40,Product_40,Grocery,1845
41,Product_41,Electronics,2541
42,Product_42,Electronics,14830
43,Product_43,Home,13698
44,Product_44,Grocery,3174
45,Product_45,Electronics,8004
46,Product_46,Electronics,10247
47,Product_47,Electronics,1189
48,Product_48,Grocery,13561
49,Product_49,Grocery,14402
50,Product_50,Home,12144
