Order_ID,Order_Date,Product_ID,Region,Quantity,Revenue,Cost,Channel,Profit
1,2024-05-10,37,West,4,4103,3364,Online,739
2,2024-12-31,43,North,5,4413,6746,Online,-2333
3,2024-11-10,39,West,4,1919,5663,Online,-3744
4,2022-05-02,42,South,4,2667,6103,Online,-3436
5,2023-04-12,17,West,9,2644,1530,Online,1114
6,2022-11-27,15,North,2,2667,7842,Offline,-5175
7,2022-03-29,18,East,6,9868,6726,Online,3142
8,2024-05-21,23,North,8,9960,6921,Online,3039
9,2022-05-11,30,West,8,6391,5441,Online,950
10,2024-02-09,34,West,7,7036,858,Online,6178
11,2022-12-10,4,East,4,1666,6792,Online,-5126
12,2024-03-16,3,South,7,4075,1812,Offline,2263
13,2023-01-21,7,North,6,3341,6363,Online,-3022
14,2024-08-13,18,East,6,2370,969,Offline,1401
15,2022-10-04,42,East,2,3386,557,Offline,2829
16,2023-04-05,7,East,8,659,7098,Online,-6439
17,2022-01-22,40,North,8,7743,1370,Online,6373
18,2022-09-10,6,North,7,4263,1350,Offline,2913
19,2024-01-18,22,North,9,1555,4338,Online,-2783
20,2024-05-06,1,South,8,833,5446,Offline,-4613
21,2023-04-20,4,East,9,4096,6400,Offline,-2304
22,2024-12-18,46,West,9,8107,7864,Online,243
23,2023-05-26,49,West,6,9583,4322,Online,5261
24,2023-12-01,50,East,2,1862,444,Offline,1418
25,2024-09-02,43,West,7,1425,2934,Online,-1509
26,2022-07-09,29,South,3,6019,2869,Offline,3150
27,2024-08-15,21,South,7,2943,7588,Offline,-4645
28,2023-11-18,26,North,9,4480,1100,Online,3380
29,2024-08-15,14,North,2,7760,1785,Offline,5975
30,2023-07-17,9,North,6,1919,4048,Offline,-2129
31,2024-04-11,47,North,6,559,2729,Offline,-2170
32,2023-10-09,12,North,9,3024,3123,Offline,-99
33,2022-01-21,42,West,9,4297,972,Offline,3325
34,2024-04-20,6,West,5,2078,4274,Offline,-2196
35,2022-06-16,20,North,5,7701,3789,Online,3912
36,2023-01-23,24,South,9,1207,4722,Offline,-3515
37,2023-08-24,27,West,8,8665,1714,Offline,6951
38,2022-11-12,38,South,7,5777,3668,Online,2109
39,2022-01-14,8,South,8,2280,5025,Online,-2745
40,2022-08-30,1,East,6,2913,6415,Online,-3502
41,2024-02-16,49,East,3,8250,4194,Offline,4056
42,2023-07-19,49,North,7,2661,4146,Online,-1485
43,2024-06-16,24,South,8,9300,6527,Offline,2773
44,2022-04-02,47,West,8,808,6589,Offline,-5781
45,2024-08-13,7,East,1,5939,2328,Offline,3611
46,2023-05-24,19,East,7,4807,1494,Offline,3313
47,2024-02-15,22,South,3,2864,2324,Online,540
48,2022-02-04,35,East,2,684,1657,Offline,-973
49,2022-07-25,30,East,2,5824,6867,Offline,-1043
50,2024-10-22,29,West,8,5983,7776,Offline,-1793
51,2024-10-18,22,South,9,745,5945,Offline,-5200
52,2023-07-20,11,East,3,8930,7104,Offline,1826
53,2023-12-04,20,South,3,8683,3110,Offline,5573
54,2023-02-06,29,East,6,6424,868,Online,5556
55,2023-12-31,41,West,1,1019,6790,Online,-5771
56,2022-06-11,42,South,6,4407,7769,Offline,-3362
57,2022-07-21,34,East,3,776,2245,Offline,-1469
58,2024-09-22,1,West,4,5601,646,Offline,4955
59,2022-09-27,31,East,9,9297,707,Offline,8590
60,2024-03-26,30,South,3,5073,4528,Offline,545
61,2023-04-01,48,East,1,5103,4053,Online,1050
62,2024-10-13,18,South,3,4553,913,Offline,3640
63,2022-10-23,17,South,7,7312,7431,Online,-119
64,2023-12-21,38,East,7,6573,405,Online,6168
65,2022-12-04,14,West,5,641,2518,Online,-1877
66,2024-05-28,23,North,1,2217,7083,Online,-4866
67,2024-12-12,25,West,8,7813,7717,Online,96
68,2024-03-02,15,West,8,6214,4099,Offline,2115
69,2022-08-05,46,East,2,899,4657,Offline,-3758
70,2024-02-03,22,West,3,5263,4213,Offline,1050
71,2022-07-07,3,West,4,6755,793,Offline,5962
72,2023-01-15,19,North,1,738,7711,Online,-6973
73,2023-05-08,44,West,4,3715,5870,Online,-2155
74,2024-11-30,34,North,5,8041,7346,Offline,695
75,2022-01-15,35,East,3,4147,4168,Online,-21
76,2022-03-06,50,North,2,5908,4685,Offline,1223
77,2023-06-05,1,South,6,6840,3634,Online,3206
78,2023-10-10,21,South,8,2929,4220,Online,-1291
79,2024-12-22,29,North,7,4152,2168,Online,1984
80,2023-08-16,6,South,1,6807,5733,Online,1074
81,2023-01-27,37,East,4,9964,6528,Offline,3436
82,2023-02-23,1,South,3,5640,1738,Online,3902
83,2022-10-16,1,North,6,3378,1652,Offline,1726
84,2023-01-14,27,East,9,2035,344,Offline,1691
85,2022-08-19,21,South,9,9227,5210,Online,4017
86,2024-10-14,16,East,7,6754,2680,Offline,4074
87,2022-02-10,44,North,9,1448,4860,Offline,-3412
88,2024-11-17,40,South,8,4441,499,Offline,3942
89,2022-05-15,26,East,5,9713,7668,Offline,2045
90,2022-07-20,16,East,9,7103,4724,Online,2379
91,2024-02-19,28,South,7,9125,2587,Online,6538
92,2024-07-18,1,East,5,1903,6303,Online,-4400
93,2024-11-22,36,East,8,8319,5193,Online,3126
94,2024-12-07,10,North,7,4011,5097,Offline,-1086
95,2023-05-18,43,North,9,3435,2930,Offline,505
96,2023-02-11,17,North,1,5378,7100,Online,-1722
97,2024-03-15,23,North,9,8006,7826,Online,180
98,2022-04-09,7,North,7,8091,6417,Offline,1674
99,2023-11-15,44,North,1,5560,6320,Online,-760
100,2023-12-27,7,South,1,3833,3068,Offline,765
101,2024-08-18,44,North,5,2102,2707,Online,-605
102,2023-09-05,15,East,8,8920,5797,Offline,3123
103,2023-10-05,34,South,9,2696,6828,Offline,-4132
104,2024-10-25,46,East,6,610,4091,Online,-3481
105,2023-05-18,45,North,8,9936,7932,Online,2004
106,2024-02-06,4,North,6,6523,3593,Online,2930
107,2023-02-02,14,East,6,4659,3146,Offline,1513
108,2024-05-20,14,East,4,4367,6808,Online,-2441
109,2024-03-05,16,East,5,8141,6515,Online,1626
110,2023-01-28,7,West,2,5504,3611,Online,1893
111,2022-07-26,32,West,3,8704,2851,Online,5853
112,2024-11-04,19,West,3,7577,1737,Online,5840
113,2024-06-10,2,West,5,3761,426,Offline,3335
114,2024-05-13,10,South,5,1162,5906,Online,-4744
115,2024-01-13,50,North,6,9385,1920,Online,7465
116,2023-07-18,17,East,5,3890,7994,Online,-4104
117,2024-10-17,37,North,6,9873,3619,Online,6254
118,2022-04-06,12,East,8,3518,781,Offline,2737
119,2023-04-30,6,North,2,2402,5731,Offline,-3329
120,2022-08-19,22,South,4,4671,7911,Online,-3240
121,2024-01-19,32,West,6,828,4678,Online,-3850
122,2023-06-25,41,North,5,6795,7469,Online,-674
123,2024-11-25,20,East,1,4346,2421,Offline,1925
124,2023-06-09,1,North,9,724,3435,Offline,-2711
125,2023-08-01,47,South,3,3020,3120,Online,-100
126,2023-11-13,6,South,2,8564,6790,Offline,1774
127,2023-07-11,19,North,9,4214,6440,Offline,-2226
128,2024-10-09,18,West,7,2907,2671,Offline,236
129,2023-10-08,6,East,5,7183,538,Offline,6645
130,2024-03-06,45,South,6,1310,1720,Offline,-410
131,2024-11-17,33,South,4,7252,6780,Offline,472
132,2022-07-09,23,North,1,3617,640,Online,2977
133,2023-09-25,23,South,4,5273,3650,Offline,1623
134,2023-09-20,26,South,9,3790,7820,Online,-4030
135,2024-08-30,13,East,1,2751,3293,Offline,-542
136,2023-12-11,7,West,3,5161,5287,Online,-126
137,2023-10-11,15,East,5,5106,1786,Offline,3320
138,2022-11-14,44,West,7,9615,4857,Online,4758
139,2023-11-15,27,East,9,6921,4375,Online,2546
140,2023-10-26,26,North,6,3552,5712,Offline,-2160
141,2023-03-18,33,South,3,8707,5193,Online,3514
142,2023-07-18,15,West,7,4951,1032,Online,3919
143,2024-08-09,36,North,4,5425,3778,Offline,1647
144,2023-11-30,45,South,3,3146,461,Online,2685
